YEAR,MONTH,TYPE,Incident_Counts
2013,6,6,55.0
2013,6,7,160.0
2013,6,8,64.0
2013,6,5,910.0
2013,6,0,204.0
2013,6,4,246.0
2013,6,2,331.0
2013,6,1,291.0
2013,6,3,119.0
2013,5,6,47.0
2013,5,7,152.0
2013,5,8,56.0
2013,5,5,902.0
2013,5,0,196.0
2013,5,4,238.0
2013,5,2,324.0
2013,5,1,283.0
2013,5,3,111.0
2013,4,6,42.0
2013,4,7,147.0
2013,4,8,51.0
2013,4,5,897.0
2013,4,0,191.0
2013,4,4,232.0
2013,4,2,318.0
2013,4,1,278.0
2013,4,3,106.0
2013,3,6,38.0
2013,3,7,143.0
2013,3,8,48.0
2013,3,5,893.0
2013,3,0,188.0
2013,3,4,229.0
2013,3,2,315.0
2013,3,1,275.0
2013,3,3,103.0
2013,2,6,13.0
2013,2,7,118.0
2013,2,8,22.0
2013,2,5,868.0
2013,2,0,162.0
2013,2,4,204.0
2013,2,2,290.0
2013,2,1,249.0
2013,2,3,77.0
2013,1,6,41.0
2013,1,7,146.0
2013,1,8,50.0
2013,1,5,896.0
2013,1,0,190.0
2013,1,4,232.0
2013,1,2,318.0
2013,1,1,277.0
2013,1,3,105.0
2012,12,6,144.0
2012,12,7,249.0
2012,12,8,153.0
2012,12,5,999.0
2012,12,0,293.0
2012,12,4,335.0
2012,12,2,421.0
2012,12,1,380.0
2012,12,3,208.0
2012,11,6,157.0
2012,11,7,262.0
2012,11,8,166.0
2012,11,5,1012.0
2012,11,0,306.0
2012,11,4,347.0
2012,11,2,433.0
2012,11,1,393.0
2012,11,3,221.0
2012,10,6,186.0
2012,10,7,291.0
2012,10,8,195.0
2012,10,5,1041.0
2012,10,0,335.0
2012,10,4,377.0
2012,10,2,463.0
2012,10,1,422.0
2012,10,3,250.0
2012,9,6,191.0
2012,9,7,296.0
2012,9,8,200.0
2012,9,5,1046.0
2012,9,0,340.0
2012,9,4,381.0
2012,9,2,467.0
2012,9,1,427.0
2012,9,3,255.0
2012,8,6,208.0
2012,8,7,313.0
2012,8,8,217.0
2012,8,5,1063.0
2012,8,0,357.0
2012,8,4,399.0
2012,8,2,485.0
2012,8,1,444.0
2012,8,3,272.0
2012,7,6,191.0
2012,7,7,296.0
2012,7,8,200.0
2012,7,5,1046.0
2012,7,0,340.0
2012,7,4,382.0
2012,7,2,468.0
2012,7,1,427.0
2012,7,3,255.0
2012,6,6,177.0
2012,6,7,282.0
2012,6,8,186.0
2012,6,5,1032.0
2012,6,0,327.0
2012,6,4,368.0
2012,6,2,454.0
2012,6,1,414.0
2012,6,3,242.0
2012,5,6,170.0
2012,5,7,275.0
2012,5,8,179.0
2012,5,5,1025.0
2012,5,0,319.0
2012,5,4,360.0
2012,5,2,446.0
2012,5,1,406.0
2012,5,3,234.0
2012,4,6,164.0
2012,4,7,269.0
2012,4,8,173.0
2012,4,5,1019.0
2012,4,0,314.0
2012,4,4,355.0
2012,4,2,441.0
2012,4,1,400.0
2012,4,3,228.0
2012,3,6,161.0
2012,3,7,266.0
2012,3,8,170.0
2012,3,5,1016.0
2012,3,0,310.0
2012,3,4,352.0
2012,3,2,438.0
2012,3,1,397.0
2012,3,3,225.0
2012,2,6,136.0
2012,2,7,241.0
2012,2,8,145.0
2012,2,5,991.0
2012,2,0,285.0
2012,2,4,326.0
2012,2,2,412.0
2012,2,1,372.0
2012,2,3,200.0
2012,1,6,163.0
2012,1,7,269.0
2012,1,8,173.0
2012,1,5,1018.0
2012,1,0,313.0
2012,1,4,354.0
2012,1,2,440.0
2012,1,1,400.0
2012,1,3,228.0
