YEAR,MONTH,TYPE,Incident_Counts
2013,6,6,123.0
2013,6,7,108.0
2013,6,8,294.0
2013,6,5,828.0
2013,6,0,321.0
2013,6,4,295.0
2013,6,2,368.0
2013,6,1,249.0
2013,6,3,192.0
2013,5,6,136.0
2013,5,7,108.0
2013,5,8,198.0
2013,5,5,825.0
2013,5,0,347.0
2013,5,4,296.0
2013,5,2,383.0
2013,5,1,246.0
2013,5,3,192.0
2013,4,6,123.0
2013,4,7,90.0
2013,4,8,164.0
2013,4,5,763.0
2013,4,0,344.0
2013,4,4,253.0
2013,4,2,397.0
2013,4,1,230.0
2013,4,3,195.0
2013,3,6,128.0
2013,3,7,108.0
2013,3,8,104.0
2013,3,5,725.0
2013,3,0,351.0
2013,3,4,273.0
2013,3,2,368.0
2013,3,1,237.0
2013,3,3,186.0
2013,2,6,106.0
2013,2,7,90.0
2013,2,8,83.0
2013,2,5,684.0
2013,2,0,325.0
2013,2,4,228.0
2013,2,2,348.0
2013,2,1,220.0
2013,2,3,173.0
2013,1,6,128.0
2013,1,7,101.0
2013,1,8,110.0
2013,1,5,778.0
2013,1,0,338.0
2013,1,4,263.0
2013,1,2,360.0
2013,1,1,258.0
2013,1,3,191.0
2012,12,6,128.0
2012,12,7,350.0
2012,12,8,56.0
2012,12,5,1355.0
2012,12,0,253.0
2012,12,4,344.0
2012,12,2,413.0
2012,12,1,491.0
2012,12,3,269.0
2012,11,6,138.0
2012,11,7,306.0
2012,11,8,70.0
2012,11,5,1337.0
2012,11,0,224.0
2012,11,4,339.0
2012,11,2,372.0
2012,11,1,453.0
2012,11,3,217.0
2012,10,6,134.0
2012,10,7,341.0
2012,10,8,127.0
2012,10,5,1361.0
2012,10,0,218.0
2012,10,4,375.0
2012,10,2,464.0
2012,10,1,554.0
2012,10,3,234.0
2012,9,6,119.0
2012,9,7,354.0
2012,9,8,140.0
2012,9,5,1257.0
2012,9,0,245.0
2012,9,4,352.0
2012,9,2,437.0
2012,9,1,470.0
2012,9,3,213.0
2012,8,6,125.0
2012,8,7,331.0
2012,8,8,214.0
2012,8,5,1295.0
2012,8,0,242.0
2012,8,4,411.0
2012,8,2,453.0
2012,8,1,443.0
2012,8,3,232.0
2012,7,6,117.0
2012,7,7,286.0
2012,7,8,221.0
2012,7,5,1267.0
2012,7,0,240.0
2012,7,4,387.0
2012,7,2,432.0
2012,7,1,484.0
2012,7,3,241.0
2012,6,6,125.0
2012,6,7,306.0
2012,6,8,139.0
2012,6,5,1388.0
2012,6,0,266.0
2012,6,4,365.0
2012,6,2,435.0
2012,6,1,469.0
2012,6,3,234.0
2012,5,6,116.0
2012,5,7,338.0
2012,5,8,106.0
2012,5,5,1263.0
2012,5,0,255.0
2012,5,4,377.0
2012,5,2,420.0
2012,5,1,490.0
2012,5,3,242.0
2012,4,6,113.0
2012,4,7,323.0
2012,4,8,80.0
2012,4,5,1130.0
2012,4,0,248.0
2012,4,4,357.0
2012,4,2,438.0
2012,4,1,430.0
2012,4,3,211.0
2012,3,6,120.0
2012,3,7,314.0
2012,3,8,76.0
2012,3,5,1356.0
2012,3,0,257.0
2012,3,4,364.0
2012,3,2,444.0
2012,3,1,467.0
2012,3,3,247.0
2012,2,6,115.0
2012,2,7,330.0
2012,2,8,74.0
2012,2,5,1223.0
2012,2,0,272.0
2012,2,4,321.0
2012,2,2,379.0
2012,2,1,413.0
2012,2,3,219.0
2012,1,6,133.0
2012,1,7,350.0
2012,1,8,66.0
2012,1,5,1389.0
2012,1,0,255.0
2012,1,4,373.0
2012,1,2,435.0
2012,1,1,480.0
2012,1,3,250.0
