YEAR,MONTH,TYPE,Incident_Counts
2013,6,6,57.0
2013,6,7,161.0
2013,6,8,66.0
2013,6,5,905.0
2013,6,0,209.0
2013,6,4,246.0
2013,6,2,331.0
2013,6,1,291.0
2013,6,3,120.0
2013,5,6,49.0
2013,5,7,153.0
2013,5,8,58.0
2013,5,5,897.0
2013,5,0,201.0
2013,5,4,238.0
2013,5,2,323.0
2013,5,1,283.0
2013,5,3,113.0
2013,4,6,43.0
2013,4,7,147.0
2013,4,8,52.0
2013,4,5,892.0
2013,4,0,195.0
2013,4,4,233.0
2013,4,2,318.0
2013,4,1,278.0
2013,4,3,107.0
2013,3,6,40.0
2013,3,7,145.0
2013,3,8,49.0
2013,3,5,889.0
2013,3,0,193.0
2013,3,4,230.0
2013,3,2,315.0
2013,3,1,275.0
2013,3,3,104.0
2013,2,6,15.0
2013,2,7,120.0
2013,2,8,24.0
2013,2,5,864.0
2013,2,0,167.0
2013,2,4,205.0
2013,2,2,290.0
2013,2,1,250.0
2013,2,3,79.0
2013,1,6,43.0
2013,1,7,147.0
2013,1,8,52.0
2013,1,5,892.0
2013,1,0,195.0
2013,1,4,233.0
2013,1,2,318.0
2013,1,1,278.0
2013,1,3,107.0
2012,12,6,145.0
2012,12,7,249.0
2012,12,8,154.0
2012,12,5,993.0
2012,12,0,297.0
2012,12,4,334.0
2012,12,2,420.0
2012,12,1,379.0
2012,12,3,209.0
2012,11,6,157.0
2012,11,7,262.0
2012,11,8,166.0
2012,11,5,1006.0
2012,11,0,309.0
2012,11,4,347.0
2012,11,2,432.0
2012,11,1,392.0
2012,11,3,221.0
2012,10,6,187.0
2012,10,7,291.0
2012,10,8,196.0
2012,10,5,1035.0
2012,10,0,339.0
2012,10,4,376.0
2012,10,2,461.0
2012,10,1,421.0
2012,10,3,250.0
2012,9,6,191.0
2012,9,7,295.0
2012,9,8,200.0
2012,9,5,1040.0
2012,9,0,343.0
2012,9,4,381.0
2012,9,2,466.0
2012,9,1,426.0
2012,9,3,255.0
2012,8,6,209.0
2012,8,7,313.0
2012,8,8,218.0
2012,8,5,1057.0
2012,8,0,361.0
2012,8,4,398.0
2012,8,2,483.0
2012,8,1,443.0
2012,8,3,272.0
2012,7,6,191.0
2012,7,7,295.0
2012,7,8,200.0
2012,7,5,1039.0
2012,7,0,343.0
2012,7,4,380.0
2012,7,2,466.0
2012,7,1,425.0
2012,7,3,255.0
2012,6,6,178.0
2012,6,7,282.0
2012,6,8,187.0
2012,6,5,1026.0
2012,6,0,330.0
2012,6,4,367.0
2012,6,2,453.0
2012,6,1,412.0
2012,6,3,242.0
2012,5,6,170.0
2012,5,7,275.0
2012,5,8,179.0
2012,5,5,1019.0
2012,5,0,322.0
2012,5,4,360.0
2012,5,2,445.0
2012,5,1,405.0
2012,5,3,234.0
2012,4,6,165.0
2012,4,7,269.0
2012,4,8,174.0
2012,4,5,1013.0
2012,4,0,317.0
2012,4,4,354.0
2012,4,2,439.0
2012,4,1,399.0
2012,4,3,229.0
2012,3,6,162.0
2012,3,7,266.0
2012,3,8,171.0
2012,3,5,1010.0
2012,3,0,314.0
2012,3,4,351.0
2012,3,2,436.0
2012,3,1,396.0
2012,3,3,226.0
2012,2,6,137.0
2012,2,7,241.0
2012,2,8,146.0
2012,2,5,985.0
2012,2,0,289.0
2012,2,4,326.0
2012,2,2,411.0
2012,2,1,371.0
2012,2,3,201.0
2012,1,6,165.0
2012,1,7,269.0
2012,1,8,174.0
2012,1,5,1013.0
2012,1,0,317.0
2012,1,4,354.0
2012,1,2,439.0
2012,1,1,399.0
2012,1,3,229.0
